Policy,GPE,LOC,ORG,FAC,MISC
"Policy ROS-22: Nature-based recreational opportunities should be provided near each population center and in more remote parts of the county. Urban recreation opportunities should be considered for the more developed, non-agricultural areas of the unincorporated county.",,,,,
"Policy ROS-23: A system of scenic roads, bicycle routes, and hiking trails should connect existing cities, town and other local population centers to outdoor recreation and open space resources and facilities.",,,,,
"Policy ROS-24: A range of recreation opportunities should be provided to serve the diverse recreational interests of children, adults, seniors, families, people with disabilities, and individuals. a) Where possible, recreational opportunities, and particularly those which are youth- oriented, should be provided within walking or bicycle distance, or accessible by public transit, of population centers. b) New multifamily housing projects shall be required to provide recreational facilities and/or participate in the funding of planned facilities (e.g. parkland dedication fees) when a nexus exists.",,,,,
"Policy ROS-25: There should be a mix of no-cost, low-cost, and user fee-based recreational opportunities on public lands so that people of all income levels are able to enjoy outdoor recreation.",,,,,
"Policy ROS-26: The use of volunteers and community-based organizations should be encouraged to maintain, restore, and enhance open space resources and habitats.",,,,,
Policy ROS-27: Linkages between city-provided recreational facilities and programs and nature-based recreational facilities and programs in unincorporated areas should be encouraged.,,,,,
"Policy ROS-28: Opportunities for the public to visit, learn about, and enjoy significant and representative historical, archaeological, and cultural resources should be provided. The County shall coordinate with and support the Napa County Regional Park and Open Space District in making recreational, cultural, interpretive, and environmental education opportunities available to all county residents. June 3, 2008 Napa County General Plan ROS–37",,,"the Napa County Regional Park and Open Space District, Napa County General Plan ROS–37",,
"Policy ROS-29: Scientific study and environmental education programs at public parks and preserves should be encouraged, and the development and funding of a comprehensive program of environmental research and education for students should be coordinated with the education community.",,,,,
"Policy ROS-30: Other than at Lake Berryessa, recreational facilities should be designed and scaled to serve the needs of county residents, recognizing that facilities that serve local residents will also serve visitors, that visitors can help pay for the construction and operation of recreational facilities beneficial to residents, and that the provision of additional nature- based recreational opportunities is an important tool for achieving economic development goals while also reducing potential adverse impacts of tourism. In the case of Lake Berryessa, recreational facilities are understood to serve a broad regional market, but should nonetheless be designed to also serve the desire of Napa County residents for water- and nature-based recreation.","Lake Berryessa, Napa County",,,Lake Berryessa,
"Policy ROS-31: A clear, attractive, and comprehensive roadside signage system, together with other forms of public information, should be designed, installed, and distributed to facilitate the public’s use and enjoyment of parks and historical, archaeological, and cultural resources. Napa County General Plan June 3, 2008 ROS–38",,,"Napa County General Plan June 3, 2008 ROS–38",,
"Policy SAF-1.1: Promote intergovernmental cooperation and training. The County supports and will promote intergovernmental cooperation among local, state, and federal public agencies to reduce known hazards; further define uncertain hazards; and provide interagency training to effectively respond and coordinate during hazardous events. In particular, the County will work to develop cooperative working relationships with agencies having responsibility for flood and fire protection. Action Item SAF-1.1a: Participate in education programs. Participate in local, regional, and state education programs regarding fire, flood, and geologic hazards. Action Item SAF-1.1b: Promote safety training. Work to ensure that all county fire departments and local law enforcement, as well as other emergency office staff, identify potentially hazardous and cascading hazardous events and perform regular training biannually.",,,,,
"Policy SAF-1.2: Provide up-to-date information. Individuals and businesses should have access to up- to-date information that allows them to collaborate with regional agencies and community-based organizations to expand communications, improve hazard preparation and response, and be able to make informed decisions about potential safety hazards and the level of risk they are willing to accept.",,,,,
"Policy SAF-1.3: Evaluate safety hazards. The County shall evaluate potential safety hazards when considering General Plan Amendments, rezoning, or other project approvals (including but not limited to new residential developments, roads, or highways, and all structures proposed to be open to the public and serving 50 persons or more) in areas characterized by any of the following: 1) Slopes over 15 percent 2) Identified landslides 3) Floodplains 4) Medium, high, or very high fire hazard severity Napa County General Plan August 2023 SAF-24 SAFETY 5) Former marshlands 6) Fault zones",,,"General Plan Amendments, Napa County General Plan, Fault",,
"Policy SAF-1.4: Perform post-disaster evaluation. Following disasters, conduct an evaluation of redevelopment, particularly after large fires. ",,,,,
Policy SAF-1.5: Provide for continued high level of service. Encourage intergovernmental and regional cooperation directed toward providing for a continuing high level of public services and coordination of services during a disaster.,,,,,
Policy SAF-1.6: Develop intra-county evacuation routes. The County shall cooperate with other local jurisdictions to develop intra-county evacuation routes to be used in the event of a disaster within Napa County. ,Napa County,,,,
"Policy SAF-1.7: Plan for self-sufficiency. Planning and outreach should recognize that Napa County may be cut off from surrounding areas following a natural disaster and may need to be self- sufficient in terms of providing emergency services, information, and support to residents and businesses.",Napa County,,,,
"Policy SAF-1.8: Support individual self-reliance. The County supports and encourages the development of individual self-reliance in the wake of a disaster and supports and encourages individual, family, and community disaster plans. Annually, the County will distribute the Emergency Preparedness Guide to all households and businesses.",,,,,
Policy SAF-1.9: Assess future emergency service needs. Prepare an assessment and projection of future emergency service as part of the county's General Plan Land Use Element Update and Master Fire Plan and ensure that future growth projections are coordinated with emergency and fire service capacity and delivery.,,,,,
"Policy SAF-1.10: Increase workforce housing. Support increasing the supply of workforce housing. Sufficient workforce housing will likely increase the number of Napa County’s first responders living locally, allowing them to be immediately available in the event of a disaster or other emergency.",Napa County’s,,,,
"Policy SAF-1.11: Update evacuation routes. In the next update to the MJHMP, identify evacuation routes and their capacity, safety, and viability under a range of emergency scenarios. Note to the Reader: Please refer to the Housing Element for policy and programs related to workforce housing development and worker proximity housing programs.",,,"MJHMP, the Housing Element",,
Policy SAF-2.1: Engage the private sector in disaster response and recovery. The County encourages the involvement of the private sector in disaster response and post-disaster recovery efforts. August 2023 Napa County General Plan SAF-25,,,Napa County General Plan,,
"Policy SAF-2.2: Utilize diverse communication technologies. The County supports the use of communication technologies to transmit information to other agencies and the public during emergencies, including: • Alert Napa County emergency alert system (or other similar system the County may use in the future) • Integrated Public Alert and Warning System (IPAWS) • Social media operated by Napa County, the Napa County Sheriff’s Office, CAL FIRE/Napa County Fire Department, and other public safety agencies and municipalities • Other systems to provide outreach to residents without telephone or Internet service","Napa County, Napa County",,"• Integrated Public Alert, Warning System, the Napa County Sheriff’s Office, CAL FIRE/Napa County Fire Department",,
"Policy SAF-2.3: Maintain structural and operational integrity of essential public services. The County will seek to maintain the structural and operational integrity of essential public services during flooding events and other natural disasters, including through the location of new essential public facilities outside of flood hazard zones when feasible. All critical public infrastructure intended for emergency use shall be provided with a source of alternate power.",,,,,
" Policy SAF-2.4: Expedite disaster recovery programs. The county’s emergency services program shall be authorized to review and expedite the implementation of appropriate federal, state, regional, and local disaster recovery programs. These may include but not be limited to: • Preparation of potential mass care facilities • Hospital reserve disaster inventory modules • Packaged disaster hospitals • Disaster assistance centers • Multipurpose staging areas • Emergency water, food, and medical supplies • Instruction leaflets • Emergency operating centers • Emergency broadcast systems",,,"• Hospital, • Packaged, • Disaster, • Instruction, • Emergency",,
" Policy SAF-2.5: Protect the vulnerable during hazard events. The County shall work with municipalities, emergency response providers, and others to develop plans and procedures for identifying vulnerable individuals during weather emergencies (including heat waves, storms, and floods), and to mobilize resources for providing transport, shelter, or other assistance as needed.",,,,,
 Policy SAF-2.6: Maximize Alert Napa County registrations. Maximize citizen registration on Alert Napa County (or other similar system the County may use in the future) to provide consistent emergency and community notifications and ensure the greatest reach possible. Napa County General Plan August 2023 SAF-26,Napa County,,Napa County General Plan,,
"Policy SAF-2.7: Address mental health in emergency planning. Mental health interventions and programs should be considered in any updates to the county’s emergency services planning process. The County should work with the Napa County Department of Health and Human Services Agency to identify persons who may require special assistance or counseling related to emergency situations, including residents and workers. To the extent the County is aware of special needs populations that require special assistance following a disaster, responders should be made aware of these populations and implement programs to reach out to them.",,,the Napa County Department of Health and Human Services Agency,,
" Policy SAF-2.8: Increase seismic resistance for critical facilities. Consistent with state and federal requirements, critical facilities should be provided with additional earthquake resistance and damage control to allow such facilities to remain operational after a disaster.",,,Policy SAF-2.8: Increase,,
" Policy SAF-2.9: Disseminate emergency planning information. The County will work with the agricultural sector and other agricultural organizations to disseminate emergency planning information to all populations affected by hazards that particularly affect the agricultural industry, such as drought, severe weather, wildfires, flooding, and disease outbreaks or pandemics.",,,,,
" Policy SAF-2.10: Update evacuation planning actions. Using the methodology and conclusions from the Emergency Planning & Evacuation analysis in Appendix B, consider including the following actions in conjunction with established fire standards when formalizing plans for potential or imminent evacuation routes: • Increase capacity through the use of contraflow lanes or shoulders. • Manage traffic control, including through turn restrictions and route or ramp closures, to maximize outflows from evacuation areas. • Clear fire-induced road closures more quickly. • Prohibit or restrict street parking on high-hazard days. • Continually improve communication systems and implement strategies that improve disaster alerts. • Instigate dynamic route guidance and monitoring. • Implement phased evacuations. • Promote reductions in vehicle volumes during evacuations, such as by encouraging households to use only one vehicle to evacuate. • Closely monitor power issues that could affect traffic signals and slow down evacuations. Action Item SAF-2.10a: Update municipal code and street codes for fire safety. Update municipal and street codes to utilize minimum standards of fire safety codes and measures for access/evacuation routes. Action Item SAF-2.10b: Establish mitigation measures for evacuation routes. Establish mitigation measures and improvement plans for inadequate evacuation routes. August 2023 Napa County General Plan SAF-27",,,"the Emergency Planning & Evacuation, • Increase, Napa County General Plan",,
"Policy SAF-2.11: Provide evacuation information to residents, businesses, and tourists. To improve emergency preparedness, inform residents, at-risk populations, businesses, and tourists of evacuation routes, defensible space, and procedures for storing valued items or taking such items with them. Publicize shelter location once locations have been identified and secured.",,,,,
"Policy SAF-2.12: Require emergency action planning for residential care and assisted living facilities. Require all residential care and assisted living facilities to produce an emergency action plan, to ensure that these facilities are well prepared for a disaster and have alternative access plan and evacuation routes to protect vulnerable people during a disaster.",,,,,
" Policy SAF-2.13: Require emergency action planning for all critical facilities. Require all critical facilities to produce an emergency action plan, to ensure that these facilities are well prepared for a disaster and are accessible during emergencies.",,,,,
 Policy SAF-2.14: Conduct hardening and redundancy for public safety buildings. Conduct hardening for security and build redundant (power and other) capability into public safety buildings.,,,,,
" Policy SAF-2.15: Modify evacuation orders as appropriate for agricultural protection. To protect agricultural resources, work with CAL FIRE to modify evacuation orders when advisable to allow farmers to reenter areas to save crops that could be lost during long-term evacuations.",,,CAL FIRE,,
 Policy SAF-2.16: Limit development to protect life and property from dam failure and wildfires. Review all new development proposals relative to dam failure inundation maps and areas subject to wildfire to recommend denial of or limits on development if necessary to protect life and property. ,,,,,
"Policy SAF-2.17: Require dam operators to maintain regularly updated emergency action plans. To reduce the risks of loss of life and property from dam failure, require all dam operators to maintain and regularly review and update their emergency action plans for all high and significant-hazard potential dams for Napa County.",Napa County,,,,
" Policy SAF-2.18: Prioritize capital improvements on evacuation routes in need of repair. Prioritize capital improvements on evacuation or emergency access routes needing repair, maintenance, or replacement, especially in WUI areas. Action Item SAF-2.18a: Conduct assessment of roads. Bi-annually, conduct and document an assessment of roads typically used as evacuation routes, create a list of potential hazards that could be mitigated, and resolve those issues on a priority basis as determined by the Public Works Director and as funding allows. Action Item SAF-2.18b: Emphasize assessment of evacuation routes in dense rural communities. With regard to the assessment of evacuation routes, emphasis shall be placed on roads used for evacuation from relatively dense rural communities, such as Berryessa Estates, Berryessa Highlands, and Angwin.",,,"WUI, Berryessa Estates",,
" Policy SAF-2.19: Install backup generators and/or mobile generators in public facilities. Install backup power generators or mobile generators for fire stations, pump houses, emergency shelters, and cooling centers. Napa County General Plan August 2023 SAF-28",,,Napa County General Plan,,
Policy SAF-2.20: Address agricultural disaster management. Encourage addressing disaster management issues within the agricultural sector at more localized levels. ,,,,,
"Policy SAF-2.21: Provide farmworkers with emergency protection resources. Provide resources to protect farm workers (e.g., facilities, education) in the event of an emergency situation such as a wildfire, extreme heat, extreme weather, flooding, or an earthquake. ",,,,,
Policy SAF-2.22: Offer agricultural training and networking resources. Offer agricultural disaster training and networking opportunities for farmers and agricultural regulatory agencies. ,,,,,
"Policy SAF-2.23: Develop a Preparedness Month campaign to educate and prepare community members. Napa County Office of Emergency Services, and other interested county agencies and partners, will participate in a Preparedness Month campaign and conduct corresponding outreach to the community and all interested parties. Activities will focus on flooding, earthquakes, and other natural hazards, including associated hazard functions, governing laws/regulations, mitigation strategies, and precautions. Outreach will also be conducted throughout the year, wherever possible.",,,Napa County Office of Emergency Services,,
 Policy SAF-2.24: Coordinate with utility agencies when developing climate action plans. Coordinate with utility agencies (such as the Napa Sanitation District) when developing climate action plan adaptations. ,,Napa Sanitation,,,
"Policy SAF-2.25: Work with organizations to enhance disaster communication processes. Continue to work and collaborate with all relevant county departments, local and state agencies, and interested community groups to enhance communication in the event of a disaster. CLIMATE CHANGE ADAPTATION",,,,,
"Policy SAF-3.1: Encourage public utility agencies to analyze and prepare for impacts of sea level rise on facilities. Encourage public utility agencies with utilities located within the Napa County boundaries, such as the Napa Sanitation District, to analyze the potential impacts of sea level rise on their facilities and possible solutions. Based on the analysis, plan for and construct sea level rise protection. Include in the analysis the need for any other regional flood control projects.",Napa County,Napa Sanitation,,,
Policy SAF-3.2: Conduct sea level rise monitoring and public education. Annually monitor for sea level rise that could affect private and public buildings and facilities. Create a comprehensive outreach strategy that informs residents in potentially affected areas of the county about efforts to protect and increase community resiliency to sea level rise. ,,,,,
Policy SAF-3.3: Adopt a Napa County Climate Action Plan. Adopt a Climate Action Plan for Napa County and continue to update the plan as climate change conditions improve or worsen. August 2023 Napa County General Plan SAF-29 SAFETY ,Napa County,,"Adopt a Napa County Climate Action Plan, Napa County General Plan",,
"Policy SAF-3.4: Implement safety and preparation measures from the MJHMP. Implement the recommendations and mitigation measures of the MJHMP to provide climate change adaption throughout the county. These mitigation measures address topics such as emergency power, emergency preparedness, sea level analysis, assistance to vulnerable populations and the agricultural community, and improvement of critical facilities and infrastructure. ",,,"MJHMP, MJHMP",,
Policy SAF-3.5: Implement fuel reduction in high fire hazard severity zones. Implement fuel reduction techniques around all buildings located within high fire hazard severity zones. ,,,,,
Policy SAF-3.6: Construct cooling centers near farmworker populations. Construct new cooling centers near farmworker populations and improve others if identified as substandard. ,,,,,
Policy SAF-3.7: Review climate change impacts on farmworkers. Work with other relevant organizations to review the impacts of climate change on the health of farmworkers and adopt strategies to decrease these impacts. ,,,,,
Policy SAF-3.8: Conduct climate change impact risk assessment. Support risk assessments of climate change impacts on the agricultural and wine industries. ,,,,,
Policy SAF-3.9: Construct rainwater catchment systems. Construct rainwater catchment systems to recharge groundwater in government rights-of-way. ,,,,,
Policy SAF-3.10: Assist vulnerable populations with acquisition of air conditioning systems. Develop programs that assist low-income and elderly residents in replacing and being reimbursed for air conditioning systems. ,,,,,
Policy SAF-3.11: Develop alternative water supplies. Construct and develop alternative water supplies to augment single sources of water delivery. DISEASE AND PANDEMIC,,,,,
"Policy SAF-4.1: Upgrade existing buildings, including hospitals. Evaluate existing buildings' ventilation and air conditioning/filtration systems, including cooling towers, to mitigate poor air quality during wildfires and prevent infectious diseases such as Legionella; and increase hospital isolation capacity with additional air-born isolation wards.",,,,,
"Policy SAF-4.2: Work collaboratively with the agricultural sector to improve understanding of infectious diseases. Assist the agricultural sector to understand health risks associated with farm-working, including infectious diseases such as tuberculosis and other respiratory illnesses; and how to prevent transmissions of infectious disease; and promote access to healthcare resources. Napa County General Plan August 2023 SAF-30 SAFETY ",,,Napa County General Plan,,
"Policy SAF-4.3: Protect vulnerable communities. During outbreaks, focus mitigation measures such as infection prevention education and other resources, including language access, on the most vulnerable communities, which may include older adults, those in congregate facilities, people with disabilities, marginalized populations, lower income households, or the unhoused. ",,,,,
"Policy SAF-4.4: Mitigate health effects of climate change. Work collaboratively with regional agencies like the Mosquito Abatement District and Air and Water Districts to understand the effect of climate change to the environment, including temperature-related health effects, air- quality impacts, extreme weather events, and vector-, rodent-, water-, and food-borne diseases that may lead to health impacts and disease outbreaks. DROUGHT",,,,the Mosquito Abatement District,
Policy SAF-5.1: Develop a public water conservation campaign. Work with the Napa County Flood Control & Water Conservation District to develop a public education campaign to encourage water conservation during drought. ,,,the Napa County Flood Control & Water Conservation District,,
"Policy SAF-5.2: Continue to invest in programs that promote water conservation in Napa County’s agricultural industry. Continue collaboration efforts between the Agricultural Commissioner, Napa County Groundwater Sustainability Agency, Napa County Resource Conservation District, University of California Cooperative Extension for Agriculture and Natural Resources, and the agricultural industry to develop actions and invest in programs that increase water conservation and sustainability in Napa County’s vineyards, wineries, and farmland. ","Napa County’s, Napa County’s",,"Agricultural, Napa County Groundwater Sustainability Agency, Napa County Resource Conservation District, University of California Cooperative Extension for Agriculture and Natural Resources",,
Policy SAF-5.3: Install water monitoring devices. Install water monitoring devices on government- owned facilities. ,,,,,
Policy SAF-5.4: Plant drought-tolerant landscaping at public facilities. Install drought-tolerant landscaping at government-owned facilities. ,,,,,
Policy SAF-5.5: Update water conservation policies for landscaping. Amend or revise water conservation regulations for landscape design. ,,,,,
Policy SAF-5.6: Adopt an outdoor watering conservation ordinance. Adopt a new water conservation ordinance for commercial and residential land uses limiting outdoor watering. ,,,,,
"Policy SAF-5.7: Invest in water use efficiency and conservation. Continue to invest in programs that help residential and non-residential customers save water and money by using the most efficient appliances and fixtures, fixing leaks, and practicing water-wise landscaping and indoor water consumption. August 2023 Napa County General Plan SAF-31",,,Napa County General Plan,,
Policy SAF-6.1: Evaluate construction in new floodplains. New construction in floodplains shall be evaluated and placed above the established flood elevation or flood-proofed to minimize the risks of flooding and provide protection to the same level as required under the county’s Floodplain Management Ordinance.,,,,,
"Policy SAF-6.2: Maintain areas subject to flooding in agricultural or open spaces. The County recognizes that agricultural open space also serves a valuable purpose in promoting safety, and that maintaining areas subject to flooding in agricultural or open space uses minimizes the impacts of flooding on homes and businesses. Note to the Reader: Please refer to Figure SAF-3 in this Safety Element for a map of areas subject to flooding. ",,,,,
"Policy SAF-6.3: Review potential flood impacts for newly proposed projects in a floodway. The review of newly proposed projects in a floodway, as mapped on the county’s Flood Insurance Rate Maps (FIRM)(Figure SAF-3), shall include an evaluation of the potential flood impacts that may result from the project. This review shall be conducted in accordance with the county’s FEMA-approved Floodplain Management Ordinance, incorporated herein by reference, and at minimum include an evaluation of the project’s potential to affect flood levels on the Napa River; the County shall seek to mitigate any such effects to ensure that freeboard on the Napa River is maintained in the area of the Napa River-Creek Flood Protection Project. ",the County,"the Napa River, the Napa River, the Napa River-Creek Flood Protection Project","Flood Insurance Rate Maps, FEMA, Floodplain Management Ordinance",,
Policy SAF-6.4: Review development proposals with reference to dam failure. Development proposals shall be reviewed with reference to the dam failure inundation maps in order to determine evacuation routes. ,,,,,
Policy SAF-6.5: Ensure proper maintenance and repairs for dams and levees. Dam and levee maintenance is considered by the County to be the responsibility of the owner/operator of each dam and/or levee. The County will support other agencies in their efforts to ensure that proper maintenance and repairs are accomplished. ,,,Dam,,
Policy SAF-6.6: Mitigate flood risk in areas not under protection from Measure A Flood Project. Mitigate flood risk for flood-prone residential structures in areas not receiving direct protection from the Measure A Flood Project. ,,,"Measure A Flood Project, the Measure A Flood Project",,
"Policy SAF-6.7: Inform property owners in inundation areas about voluntary flood insurance. Develop a public outreach program that informs property owners within the dam or levee inundation areas about voluntary flood insurance (preferred risk policies), increasing participation in the National Flood Insurance Program. ",,,the National Flood Insurance Program,,
Policy SAF-6.8: Adopt a stream channel ordinance. Draft and adopt a stream channel ordinance that would place responsibility for maintenance on the property owner and give Napa County enforcement power. Napa County General Plan August 2023 SAF-32 SAFETY ,Napa County,,Napa County General Plan,,
"Policy SAF-6.9: Maintain warning gauges on local dams. Construct, install, and maintain warning gauges on local dams as the opportunity or need arises. ",,,,,
"Policy SAF-6.10: Create an inventory to replace culverts. Create an inventory and priority list to replace culverts, taking into account fish passage, flood depth reduction, and future losses avoided. ",,,,,
Policy SAF-6.11: Improve dam risk assessments. Improve risk assessments for dams located within the county. ,,,,,
Policy SAF-6.12: Relocate farm work centers from flood risk areas. Relocate farm work centers from flood risk areas. ,,,,,
Policy SAF-6.13: Retrofit bridges and culverts. Elevate and/or retrofit bridges and culverts to allow proper 100-year flows of stormwater. ,,,,,
Policy SAF-6.14: Improve stormwater basins. Construct and/or improve stormwater basins countywide to accomplish 100-year protection. ,,,,,
Policy SAF-6.15: Reduce floodplain risk through regulatory standards. Adopt higher regulatory standards to reduce future flood risk and support a no-adverse-impact philosophy of floodplain management. ,,,,,
Policy SAF-6.16: Elevate new structures above the 100-year flood level. Require all new or substantially improved structures to be elevated higher than the 100-year flood to provide a margin of safety for extreme weather events and short-term effects of sea level rise. ,,,,,
"Policy SAF-6.17: Update National Flood Insurance Program floodplain maps. Ensure that all new and revised National Insurance Flood Program floodplain maps depict how the floodplain will change over time, especially considering sea level rise. Communities and developers rely on these maps to guide siting, design, and construction of all housing, commercial development, and public infrastructure, and these depicted floodplains should be areas where development is restricted (with elevation required) or prohibited. August 2023 Napa County General Plan SAF-33",,,"Update National Flood Insurance Program, National Insurance Flood Program, Napa County General Plan",,
"Policy SAF-7.1: Require a geotechnical study for new projects and modifications along known hazard areas. Consistent with county ordinances, require a geotechnical study for new projects and modifications of existing projects or structures located in or near known geologic hazard areas, and restrict new development atop or astride identified active seismic faults in order to prevent catastrophic damage caused by movement along the fault. Geologic studies shall identify site design (such as setbacks from active faults and avoidance of on-site soil-geologic conditions that could become unstable or fail during a seismic event) and structural measures to prevent injury, death, and catastrophic damage to structures and infrastructure improvements (such as pipelines, roadways, and water surface impoundments not subject to regulation by the Division of Safety of Dams of the California Department of Water Resources) from seismic events or failure from other natural circumstances. Action Item SAF-7.1a: Make updated maps publicly available. Updated maps should be made available to the public at county offices, on the county’s website, and through other appropriate channels.",,,"the Division of Safety of Dams of, the California Department of Water Resources",,
"Policy SAF-7.2: Plant native vegetation on unstable slopes to minimize erosion and landslide potential. As part of the review and approval of development and public works projects, planting of vegetation on unstable slopes shall be incorporated into project designs when this technique will protect structures at lower elevations and minimize the potential for erosion or landslides. Native plants should be considered for this purpose, since they can reduce the need for supplemental watering that can promote earth movement. ",,,,,
"Policy SAF-7.3: Prohibit extensive grading where geological hazards are present. No extensive grading shall be permitted on slopes over 15 percent where landslides or other geologic hazards are present, unless the hazard(s) are eliminated or reduced to a safe level. ",,,,,
Policy SAF-7.4: Require new hillside parcels be large enough for site flexibility. Newly created hillside parcels shall be large enough to provide flexibility in finding a stable buildable site and driveway location. ,,,,,
"Policy SAF-7.5: Prohibit road dedication where geological hazards would require excessive county maintenance. The County shall not accept dedication of roads: (a) on or jeopardized by landslides; (b) in hilly areas; or (c) in areas subject to liquefaction, subsidence, or settlement, which, in the opinion of the Public Works Department, would require an excessive degree of maintenance and repair costs. ",,,the Public Works Department,,
"Policy SAF-7.6: Implement cave construction requirements. Facilities constructed in caves shall be required to conform to access/egress and fire suppression requirements as determined by the County based on the cave’s use or occupancy. Mechanical, electrical, and plumbing permits are required for cave improvements, a building permit is required for the cave’s portal, and a grading permit is required for movement or disposal of cave spoils. Napa County General Plan August 2023 SAF-34 SAFETY ",,,Napa County General Plan,,
"Policy SAF-7.7: Conduct regular review of slope failure maps. Regularly update maps identifying all areas subject to slope failure, including locations of critical facilities and infrastructure that could be affected by the slope failure. This information can be used for improvement of public education and awareness, planning and public works projects, and development of a warning system. ",,,,,
Policy SAF-7.8: Implement slope stabilization projects. Implement slope stabilization projects in the highest risk areas. ,,,,,
"Policy SAF-7.9: Require private critical facilities to evaluate and address geological hazard resilience. Encourage privately owned critical facilities (e.g., churches, hotels, other gathering facilities) to evaluate the ability of the buildings to withstand earthquakes and to address any deficiencies identified. ",,,,,
"Policy SAF-7.10: Conduct seismic retrofitting for County-owned critical facilities. Retrofit County- owned critical facilities and buildings, increasing their capability to withstand earthquakes and liquefaction. ",,,,,
"Policy SAF-7.11: Update and enforce seismic building codes. Adopt and enforce updated building codes to reduce earthquake damage to structures. Note to the Reader: The Conservation Element should also be consulted for policies related to short- and long-term erosion control on construction sites, vineyards, and other projects. HAZARDS FROM HUMAN ACTIVITIES",,,,,
"Policy SAF-8.1: Develop policy for electromagnetic field safety. The County shall continue to monitor research being conducted under the auspices of the California Public Utilities Commission (CPUC) to define acceptable levels of exposure to electromagnetic fields (EMF). Once a specific numerical standard for EMF exposure has been adopted by the CPUC, the county’s policy shall be that residential development (and other sensitive land uses such as schools, hospitals, childcare sites) that would expose persons to EMF that exceeds the standard should generally not be permitted.",,,"the California Public Utilities Commission, CPUC, CPUC",,
Policy SAF-8.2: Contribute to the location of new or relocated electrical transmission lines. The County shall seek to be part of the decision-making process for the location of new or relocated electrical transmission lines to ensure that line locations are coordinated with the county’s land use plans and aesthetic policies. ,,,,,
"Policy SAF-8.3: Consider potential hazards resulting from the release of liquids. Potential hazards resulting from the release of liquids (wine, water, petroleum products, etc.) from the possible rupture or collapse of aboveground tanks should be considered as part of the review and permitting of these aboveground tanks. August 2023 Napa County General Plan SAF-35 SAFETY ",,,Napa County General Plan,,
"Policy SAF-8.4: Review and remedy sites suspected or known to be contaminated by hazardous materials. All development projects proposed on sites that are suspected or known to be contaminated by hazardous materials and/or are identified in a hazardous material/ waste search shall be reviewed, tested, and remediated for potential hazardous materials in accordance with all local, state, and federal regulations. Action Item SAF-8.4a: Require confirmation of remediation of contaminated sites from applicable government agencies. The County shall require written confirmation from applicable local, regional, state, and federal agencies that known contaminated sites have been deemed remediated to a level appropriate for the land uses proposed prior to the County approving site development or require an approved remediation plan that demonstrates how contamination will be remediated prior to site occupancy. This documentation will specify the extent of development allowed on the remediated site as well as any special conditions and/or restrictions on future land uses. ",,,,,
"Policy SAF-8.5: Ensure the safety of all people in maintenance and construction of roadways. Safety shall be considered in the maintenance and construction of all roadways and related improvements to provide a safe environment for all modes of transportation and ensure the safety of neighboring uses and sensitive receptors. Safety measures should factor in protection from potential hazardous material spills, where spills could contaminate adjacent property and waterbodies. Safety measures should also consider the need to protect adjacent uses from roadway pollution through the use of green buffers, sound walls, and other design interventions. The special needs of elder and disabled persons shall be addressed when designing new or modifying signs. Examples of features specific to the elderly include: • Signals that provide pedestrians with slower mobility the opportunity to cross roadways in greater safety by providing for longer crossing times • Increased lighting at pedestrian crossings • Pedestrian crossing surfaces that provide greater traction to reduce slips and falls • Audible and/or “countdown” crossing signals ",,,• Signals,,
"Policy SAF-8.6: Review plan compatibility of zoning and land uses within airport areas and facilities. For maximum safety, all land uses and zoning within airport areas shall be reviewed for compatibility with the adopted plans for the Napa County Airport, Angwin Airport, and other general aviation facilities in the area. ",,,the Napa County Airport,,
"Policy SAF-8.7: Review commercial and multi-family development for public safety. All new commercial and multi-family development shall be referred to the Sheriff’s Department for review of public safety issues. If the proposed project is adjacent to or within an incorporated city/town, consultation with their law enforcement agency shall also be required. ",,,the Sheriff’s Department,,
Policy SAF-8.8: Prepare for emergency response to terrorism and civil unrest. The County will prepare for and respond to emergencies related to terrorism and civil unrest in the same way as natural and man-made disasters. ,,,,,
Policy SAF-8.9: Reduce or cease activities that could cause hazards. Monitor to reduce or cease activities by governmental and private companies and agencies that could cause the artificial induction of earthquakes or other hazards. Napa County General Plan August 2023 SAF-36,,,Napa County General Plan,,
"Policy SAF-9.1: Provide resources to vulnerable populations. Organize outreach to vulnerable populations, including establishing and promoting accessible shelters in the community.",,,,,
Policy SAF-9.2: Develop information campaign for 72-hour kits. Develop a public information campaign on the details and benefits of 72-hour kits. ,,,,,
Policy SAF-9.3: Procure backup generators for public meeting spaces. Procure backup generators in the event that public meeting spaces such as community centers or town halls will be used as emergency command centers. Perform regular maintenance on generators at water treatment plants. WILDFIRE,,,,,
Policy SAF-10.1: Collaborate with other agencies for implementation of wildfire and hazard plans. The County shall work with other agencies and organizations to implement the Community Wildfire Protection Plan (2021) and Multi-Jurisdictional Hazard Mitigation Plan (2020).,,,Multi-Jurisdictional Hazard Mitigation Plan,,
Policy SAF-10.2: Maintain consistency with California codes. Maintain consistency with California Code of Regulations Title 14 Natural Resources Division 1.5 Department of Forestry Chapter 7 - Fire Protection. Action Item SAF-10.2a: Update municipal code per state fire protection code. Review and update the Napa County Municipal Code as necessary to bring the code into compliance with California Code of Regulations Title 14 Natural Resources Division 1.5 Department of Forestry Chapter 7 - Fire Protection. ,California,,"California Code of, Natural Resources Division, Department of Forestry, the Napa County Municipal Code, California Code of, Natural Resources Division, Department of Forestry",,
